image,class,split
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/05465.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/06073.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/07576.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/00273.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/01521.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02525.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/01150.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/05165.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/01044.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09146.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/03374.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/08922.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/07109.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09849.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02195.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02435.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02264.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/00239.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02989.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/08426.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/04947.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/08287.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/08494.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/06514.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/03586.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/01891.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09675.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/07087.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02037.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/03334.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/05475.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/00401.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/04019.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09297.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/00126.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/04365.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09965.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02145.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/04526.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/07986.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/06443.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/03362.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/08256.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/05832.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09029.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/03936.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/01795.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/09416.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/07785.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/06902.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/02628.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/06120.png,1,test
GigaGAN/GigaGAN_cond_upsampler_laion128to1024/fake_images/0/00527.png,1,test
